"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","FMTM","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF2","WDF5","WSF2","WSF5"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2000-03-14","2.1"," 1218"," 1217","0.0","0.0","0.0","6.7","14.4","-1.7",,"  220","  230","6.7","7.6"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2000-03-15","3.9"," 1148"," 1420","0.0","0.0","0.0","12.2","21.1","3.3",,"  220","  180","9.8","12.5"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2000-03-16","2.9"," 1603"," 1602","11.9","0.0","0.0","16.7","21.7","11.7",,"  210","  230","6.7","9.4"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2000-03-17","6.6"," 1107"," 1108","2.5","0.0","0.0","7.8","16.1","-1.1",,"  330","  340","10.7","13.9"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2000-03-18","4.0"," 0119"," 0118","0.0","0.0","0.0","0.6","4.4","-3.9",,"   10","  360","8.0","11.2"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2000-03-19","4.8"," 1413"," 1414","0.0","0.0","0.0","3.9","7.2","0.0",,"  100","  100","8.0","9.4"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2000-03-20","6.8"," 2255"," 2203","2.0","0.0","0.0","6.7","9.4","3.3",,"   60","   50","9.8","10.7"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2000-03-21","6.2"," 0603"," 0604","45.0","0.0","0.0","5.0","5.6","4.4",,"   80","   80","11.6","13.9"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2000-03-22","3.9"," 1056"," 1214","7.4","0.0","0.0","7.2","8.9","5.0",,"   40","   40","7.2","10.3"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2000-03-23","2.0"," 1330"," 1230","0.0","0.0","0.0","10.0","17.2","2.8",,"   20","  360","5.8","9.4"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2000-03-24","1.9"," 0936"," 0943","0.0","0.0","0.0","11.7","19.4","3.9",,"   90","   80","5.8","6.7"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2000-03-25","1.8"," 1640"," 1639","1.8","0.0","0.0","14.4","22.2","6.7",,"  270","  270","12.5","14.8"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2000-03-26","4.5"," 1519"," 1518","0.0","0.0","0.0","11.1","18.3","3.9",,"  270","  280","12.5","16.5"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2000-03-27","2.6"," 0917"," 0909","24.1","0.0","0.0","10.0","19.4","0.6",,"  160","  130","8.9","10.7"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2000-03-28","5.2"," 2223"," 2223","6.1","0.0","0.0","11.1","15.0","6.7",,"  280","  280","11.6","14.8"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2000-03-29","5.5"," 1124"," 1421","0.0","0.0","0.0","8.9","14.4","3.3",,"  280","  280","12.5","15.2"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2000-03-30","2.9"," 1324"," 1323","0.0","0.0","0.0","8.3","16.7","0.0",,"  240","  240","8.0","10.3"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2000-03-31","2.5"," 1210"," 1324","0.0","0.0","0.0","7.2","15.0","-1.1",,"  310","   20","7.6","10.3"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2000-04-01","2.0"," 1217"," 1214","0.0","0.0","0.0","10.0","20.6","-0.6",,"  270","  240","5.8","7.6"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2000-04-02","4.1"," 1435"," 1430","0.8","0.0","0.0","13.3","20.0","6.1",,"  210","  210","10.3","13.9"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2000-04-03","3.7"," 1237"," 1423","4.6","0.0","0.0","19.4","23.9","15.0",,"  230","  220","7.6","9.8"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2000-04-04","5.5"," 1913"," 1913","4.3","0.0","0.0","12.8","20.0","5.6",,"  280","  270","13.4","17.0"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2000-04-05","5.8"," 1158"," 1210","0.0","0.0","0.0","7.2","12.2","2.2",,"  270","  270","13.4","16.5"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2000-04-06","4.7"," 1807"," 1543","0.0","0.0","0.0","16.1","26.1","5.6",,"  280","  250","10.3","13.4"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2000-04-07","3.3"," 1639"," 1638","0.0","0.0","0.0","15.0","22.2","7.2",,"  150","  150","9.4","11.6"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2000-04-08","6.1"," 1513"," 1512","22.9","0.0","0.0","15.0","25.6","3.9",,"  300","  290","15.2","20.1"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2000-04-09","8.7"," 1300"," 1648","2.5","5.0","0.0","5.6","11.1","0.0",,"  280","  260","15.2","19.2"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2000-04-10","4.5"," 1501"," 1500","0.0","0.0","0.0","10.6","17.2","3.3",,"  270","  240","10.7","13.0"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2000-04-11","3.7"," 0943"," 0948","0.8","0.0","0.0","11.1","13.9","8.3",,"   60","   80","7.6","8.9"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2000-04-12","4.1"," 1028"," 1435","0.3","0.0","0.0","7.2","12.2","2.2",,"  300","  290","11.6","14.3"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2000-04-13","3.0"," 0746"," 0725","0.0","0.0","0.0","5.0","10.0","0.0",,"   60","   40","6.7","9.8"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2000-04-14","2.3"," 1138"," 1138","0.0","0.0","0.0","8.3","15.6","0.6",,"   90","  100","4.9","7.2"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2000-04-15","2.1"," 1329"," 0533","3.3","0.0","0.0","13.3","15.6","10.6",,"   90","   40","4.0","5.8"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2000-04-16","1.9"," 2342"," 2341","0.8","0.0","0.0","20.6","26.7","14.4",,"   80","   80","6.3","7.2"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2000-04-17","6.8"," 1736"," 1843","38.4","0.0","0.0","12.8","17.8","7.8",,"   80","   70","11.2","13.4"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2000-04-18","5.8"," 0109"," 0138","13.0","0.0","0.0","7.8","8.3","6.7",,"   60","   80","10.3","12.5"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2000-04-19","3.4"," 1012"," 1210","0.0","0.0","0.0","13.3","18.9","7.8",,"   40","   20","6.7","8.0"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2000-04-20","3.2"," 1627"," 1642","0.0","0.0","0.0","13.3","19.4","6.7",,"  140","  140","8.0","10.7"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2000-04-21","3.3"," 1628"," 1628","18.8","0.0","0.0","13.9","17.2","10.6",,"  320","  330","7.2","10.3"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2000-04-22","4.2"," 1720"," 1717","0.5","0.0","0.0","11.1","13.9","8.3",,"  290","  300","7.6","10.3"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2000-04-23","5.0"," 1055"," 0831","0.0","0.0","0.0","10.6","13.3","7.2",,"  290","  310","10.3","13.4"
