"date_site","date","sites","temp_95","wb_temp_95","heat_index_95","rel_hum_95","temp_max","wb_temp_max","heat_index_max","rel_hum_max","temp_mn","wb_temp_mn","heat_index_mn","rel_hum_mn","temp_05","wb_temp_05","heat_index_05","rel_hum_05","habitat","location","date_orig","month","day","year","ext_95"
"2024-06-23_Classroom_SMC7",2024-06-23,"Classroom_SMC7",33.1416666666667,24.95,38.45,78.765,33.5555555555556,25.3888888888889,39.5,80,30.1858024691358,23.9611111111111,34.0333333333333,60.9266666666667,25.3888888888889,22.7222222222222,27.2222222222222,50.2,"forest","urban","2024-06-23",6,23,2024,0
"2024-06-23_Forest3_SLR3",2024-06-23,"Forest3_SLR3",36.95,26,43.7527777777778,72.355,37.3333333333333,26.2777777777778,44.1111111111111,73,31.9117283950617,24.4074074074074,36.4141975308642,55.5188888888889,26.55,22.6611111111111,28.7222222222222,41.98,"forest","urban","2024-06-23",6,23,2024,1
"2024-06-23_NEON007_N7",2024-06-23,"NEON007_N7",36.2888888888889,26.0611111111111,42.7138888888889,72.575,36.6111111111111,26.6111111111111,44.5,78.2,32.5993827160494,24.7364197530864,37.5623456790123,54.0688888888889,26.8027777777778,22.8777777777778,29.0638888888889,43.075,"open","exurban","2024-06-23",6,23,2024,1
"2024-06-23_NEON019_N19",2024-06-23,"NEON019_N19",31.1222222222222,27.1111111111111,39.5,88.7,31.8333333333333,27.5,40.7222222222222,89.3,28.4358024691358,25.6296296296296,34.1425925925926,80.3822222222222,24.525,23.1111111111111,26.2777777777778,72.895,"forest","exurban","2024-06-23",6,23,2024,0
"2024-06-23_Open_SMO9",2024-06-23,"Open_SMO9",35.2027777777778,24.7222222222222,39.9472222222222,73.74,36.0555555555556,25.1111111111111,41.3888888888889,75.1,31.7438271604938,23.7537037037037,35.3222222222222,52.9166666666667,26.2972222222222,22.6611111111111,28.3277777777778,41.735,"open","urban","2024-06-23",6,23,2024,1
"2024-06-23_Open1_SLO1",2024-06-23,"Open1_SLO1",39.1972222222222,26.8888888888889,46.95,73.915,40.2222222222222,27.6111111111111,49.2222222222222,76.5,33.7962962962963,25.1901234567901,39.4123456790123,51.6033333333333,26.8111111111111,23.1611111111111,29.3361111111111,38.79,"open","urban","2024-06-23",6,23,2024,1
"2024-06-23_SweetHope_SH4",2024-06-23,"SweetHope_SH4",34.1416666666667,24.6722222222222,38.5611111111111,68.9,35.1666666666667,25.1111111111111,40.2222222222222,69.6,31.0820987654321,23.4969135802469,34.4277777777778,54.2188888888889,26.6361111111111,22.2777777777778,28.4388888888889,43.335,"open","urban","2024-06-23",6,23,2024,0
"2024-06-24_Classroom_SMC7",2024-06-24,"Classroom_SMC7",28.8888888888889,21.2527777777778,27.8888888888889,71.01,29.2222222222222,22,28.2777777777778,72.4,27.3691358024691,18.7197530864198,26.8259259259259,45.0033333333333,25.2722222222222,16.8277777777778,25.6611111111111,31.745,"forest","urban","2024-06-24",6,24,2024,0
"2024-06-24_Forest3_SLR3",2024-06-24,"Forest3_SLR3",33.5555555555556,22.1111111111111,34.2777777777778,71.2,34.1666666666667,22.1111111111111,34.8888888888889,72.1,29.2277777777778,20.5302469135802,29.6956790123457,47.3344444444444,25.7111111111111,18.7222222222222,25.5638888888889,29.835,"forest","urban","2024-06-24",6,24,2024,0
"2024-06-24_NEON007_N7",2024-06-24,"NEON007_N7",31.7583333333333,23,32.0611111111111,81.045,32.1111111111111,23.3888888888889,32.7222222222222,85.1,28.9055555555556,19.9586419753086,29.0456790123457,45.4555555555556,24.9388888888889,17.3888888888889,25.275,31.435,"open","exurban","2024-06-24",6,24,2024,0
"2024-06-24_NEON019_N19",2024-06-24,"NEON019_N19",29.5305555555556,23.5,31.2222222222222,91.61,30.2222222222222,23.7222222222222,31.7222222222222,92.7,26.7882716049383,21.4037037037037,27.8969135802469,63.8433333333333,24.2916666666667,19.3277777777778,24.5527777777778,46.28,"forest","exurban","2024-06-24",6,24,2024,0
